Trailing P/E Ratio,Forward P/E Ratio,Price to Book Ratio,Earnings Per Share Trailing,Earnings Per Share Forward,Return on Equity,Debt to Equity Ratio,Free Cash Flow,Operating Margin,Price to Sales Ratio,Quick Ratio,Interest Coverage Ratio,Enterprise Value,Enterprise Value to EBITDA,PEG Ratio,Total Debt,Total Stockholder Equity,Symbol,Error
24.939636,20.45126,3.9691489,Not Available,10.67,0.16087,182.272,9192125440,0.23792,3.1761682,0.862,Not Available,361467772928,11.788,Not Available,71399000000.0,Not Available,TMUS,
17.020943,11.692,4.501523,Not Available,8.42,0.28786,74.029,5675749888,0.33473,3.9240494,0.782,Not Available,213420802048,10.17,Not Available,18436000000.0,Not Available,NVS,
8.866111,11.456274,0.069168426,Not Available,15.78,0.12594,103.53,-675596861440,0.10099,0.0051027434,1.027,Not Available,25725906190336,3.655,Not Available,20766384000000.0,Not Available,TM,
35.087776,24.052544,4.3693986,Not Available,23.49,0.12944001,72.329,6782374912,0.18059999,5.0523043,1.126,Not Available,243041271808,22.967,Not Available,31308000000.0,Not Available,TMO,
34.84522,18.649445,13.155575,Not Available,20.55,0.35355,41.788,6618500096,0.36834,8.935631,0.966,Not Available,240642179072,29.585,Not Available,4129000000.0,Not Available,ADBE,
33.10554,25.878595,5.299688,Not Available,16.95,0.1619,54.828,4216750080,0.2719,6.286295,0.734,Not Available,226109849600,17.972,Not Available,13397000000.0,Not Available,LIN,
29.579697,25.35557,7.7934217,Not Available,14.07,0.26674998,14.127,7641968128,0.14597,3.3983054,0.984,Not Available,217196363776,19.628,Not Available,78628000.0,Not Available,ACN,
54.598976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,CCZ,
24.68805,22.364891,Not Available,Not Available,12.61,Not Available,Not Available,7300262400,0.46974,7.7619314,0.584,Not Available,253559308288,18.313,Not Available,37152900000.0,Not Available,MCD,
34.4924,22.012981,4.9459553,Not Available,5.16,0.14840001,37.589,6404874752,0.18749,4.7753725,0.996,Not Available,204316065792,18.874,Not Available,13599000000.0,Not Available,ABT,
25.849787,15.303465,5.3075433,Not Available,3.9,0.20761,70.647,12193874944,0.17036,4.528119,0.648,Not Available,253633708032,18.443,Not Available,19621000000.0,Not Available,CSCO,
32.76822,20.99052,8.50189,Not Available,10.61,0.26729,245.112,10412125184,0.14130999,3.321364,0.896,Not Available,254356979712,17.331,Not Available,50121000000.0,Not Available,IBM,
45.0586,28.815699,3.3556707,Not Available,8.38,0.07586,36.69,5169750016,0.20335,7.2513466,0.916,Not Available,188364505088,25.078,Not Available,16707000000.0,Not Available,DHR,
36.136364,34.836205,10.485121,Not Available,5.24,0.22552,110.224,4729375232,0.18247999,2.8289957,0.804,Not Available,203626463232,22.79,Not Available,19711000000.0,Not Available,GE,
19.3,17.264194,Not Available,Not Available,7.2,Not Available,Not Available,9205749760,0.43425998,5.0794425,0.404,Not Available,236046188544,15.427,Not Available,41243000000.0,Not Available,PM,
16.787878,8.215388,1.6947819,Not Available,4.73,0.10431,182.615,6670875136,0.23933001,1.2161285,0.51,Not Available,337934319616,6.978,Not Available,137701000000.0,Not Available,VZ,
22.982351,20.530916,7.4071617,Not Available,15.12,0.3469,186.815,Not Available,0.20936,3.7168307,1.619,Not Available,228094296064,Not Available,Not Available,47866000000.0,Not Available,AXP,
18.40716,13.496069,6.9711084,Not Available,12.23,0.42253,58.765,8920500224,0.2625,4.692423,1.64,Not Available,184966152192,15.467,Not Available,13270000000.0,Not Available,QCOM,
